Quantidade de Pontos,Tempo Pips,Erro Pips,Tempo Volca,Erro Volca
5,"6,5391860008","2180327,67017","3,8190479279","1924651,8093"
10,"11,1142711639","1635961,33763","4,7686810494","1477560,6417"
15,"17,1150391102","1002508,58959","5,5706529617","758582,456994"
20,"22,4782919884","926852,309684","6,531509161","1027592,05423"
25,"25,4295830727","566446,968748","6,8021500111","784755,294605"
30,"29,3449909687","977757,423189","7,4998118877","706995,246461"
35,"33,7316889763","712328,128233","8,2422459126","690961,080009"
40,"38,3116388321","656314,698998","8,9092829227","577316,192469"
45,"43,2153539658","674201,081801","9,8592550755","567548,719627"
50,"47,3428199291","608222,847456","10,3535158634","532596,571139"
55,"52,5658969879","566825,022173","11,325248003","549664,413786"
60,"57,6103060246","581646,863863","12,0928080082","478923,892262"
65,"63,845605135","577439,611058","12,7328791618","445808,664611"
70,"66,2524199486","549796,144275","13,5257480145","474678,346959"
75,"70,7238919735","578090,864494","14,0249090195","395034,018477"
80,"74,815582037","576359,501411","14,678745985","379520,881464"
85,"79,753827095","522094,676297","15,7144551277","441139,302264"
90,"83,5387940407","633982,159761","16,0537011623","388168,058311"
95,"91,1832339764","545993,494809","17,6661159992","398039,500039"
100,"92,5574378967","530687,200488","17,5416381359","418723,72041"
