"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00826692581177,1125.93196413,0.00487899780273,176757.742968,0.000386953353882,16589.014619
10,0.0152180194855,42358.9477906,0.00651001930237,117300.550907,0.00039005279541,16502.2418274
15,0.0225229263306,1189.9023334,0.00812005996704,121286.804876,0.00042986869812,15937.0951063
20,0.0301971435547,1623.26608865,0.00976490974426,1184.24443867,0.000471115112305,15600.2652474
25,0.0367560386658,23505.260597,0.0111448764801,984.036918176,0.000491857528687,15037.6938271
30,0.043860912323,14292.6311845,0.012619972229,743.973302258,0.000678062438965,14995.3594295
35,0.0507950782776,124932.743062,0.0141448974609,997.167102265,0.000548839569092,14959.5233278
40,0.0570631027222,16360.3600424,0.0157029628754,1124.64066672,0.000541925430298,14959.5233278
45,0.0646350383759,125161.687603,0.0170931816101,20198.7373845,0.000715970993042,6716.49528557
50,0.0708558559418,24605.0034266,0.0184698104858,821.448030659,0.000591039657593,6716.49528557
55,0.078057050705,2131.77550045,0.0198328495026,898.932800259,0.00064492225647,6603.62812303
60,0.085440158844,2134.08375044,0.0211482048035,19989.2974781,0.000643014907837,6603.62812303
65,0.0912320613861,2924.92519516,0.0225601196289,1196.52574235,0.000659942626953,6603.62812303
70,0.0971829891205,2768.00751825,0.0242691040039,1215.43005949,0.000769138336182,6603.62812303
75,0.104609012604,2485.01881585,0.0252549648285,1180.36201149,0.000833988189697,6580.60917822
80,0.110054969788,2390.57709727,0.0266330242157,584.763558755,0.000854015350342,6580.60917822
85,0.116294145584,2304.77210461,0.0279860496521,514.713271211,0.00086498260498,6580.60917822
90,0.121803998947,1813.03588297,0.029082775116,567.967591076,0.0018949508667,6580.60917822
95,0.128806114197,1152.780979,0.0303189754486,657.505989713,0.000831127166748,3988.67200795
100,0.137053012848,1095.70910738,0.0316479206085,819.616522627,0.000823020935059,3988.67200795
