"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00785994529724,2898.61365888,0.00488090515137,4161.45165927,0.000424146652222,6485.11803667
10,0.0151751041412,2846.89808633,0.00667500495911,2627.07204714,0.000432014465332,6485.11803667
15,0.022136926651,3960.91363647,0.00810384750366,3044.38426148,0.000463008880615,3815.26266448
20,0.0315759181976,2948.79382506,0.00962495803833,2067.43643434,0.000473022460938,3053.99536079
25,0.0366318225861,3413.04567295,0.0110890865326,2040.83832219,0.000488996505737,2876.11242267
30,0.0442039966583,2978.65400792,0.0126869678497,2291.13133394,0.000519990921021,2832.43390445
35,0.0504548549652,2737.72221009,0.0140450000763,2296.7031412,0.000523090362549,2201.73592649
40,0.0580580234528,2208.72798549,0.0155181884766,3045.20716752,0.000548839569092,1747.73175964
45,0.0641379356384,2127.62363679,0.0169849395752,2273.94743208,0.000565052032471,1673.68410312
50,0.0707828998566,1992.64320551,0.0183260440826,2665.84137477,0.000618934631348,1472.32282454
55,0.078076839447,2693.98388585,0.0197858810425,2455.5228531,0.00061821937561,1472.32282454
60,0.084489107132,2151.21445563,0.0211899280548,3206.32613032,0.000818014144897,1224.0687567
65,0.0913059711456,2185.62215761,0.0227999687195,3637.87794114,0.000674962997437,1224.0687567
70,0.0979990959167,1710.12448028,0.0239179134369,3245.86135987,0.000683069229126,1224.0687567
75,0.103677988052,1723.22643074,0.0253958702087,2181.30107434,0.000678062438965,1224.0687567
80,0.110336780548,1356.50411213,0.0265650749207,2081.15559905,0.000735998153687,1198.83559292
85,0.115886926651,1523.38483014,0.0280830860138,2058.59540887,0.000725984573364,1198.83559292
90,0.122459173203,1590.52191035,0.0292119979858,1842.44244593,0.00133204460144,1198.83559292
95,0.129864931107,1595.66170954,0.0305731296539,1744.8020317,0.000855922698975,1198.83559292
100,0.135730028152,1505.16850212,0.0320091247559,1798.97116442,0.000771999359131,1096.61709934
