"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00803399085999,2011.68558088,0.00583577156067,3413.83653797,0.000407934188843,2147.80229406
10,0.0159180164337,2924.90921079,0.00659990310669,2812.73139186,0.000429153442383,1352.56156352
15,0.0238511562347,2463.43115109,0.00810098648071,2046.58806169,0.00044322013855,1146.23914493
20,0.0319938659668,3125.90031603,0.0103180408478,2186.25377528,0.000478029251099,1897.12658043
25,0.0373730659485,3249.51349673,0.0111000537872,1607.95084929,0.00098991394043,2204.22503307
30,0.0444710254669,1518.18505518,0.012638092041,1891.94845592,0.000529050827026,1883.29117339
35,0.0523951053619,2601.33233922,0.0141890048981,1772.71700166,0.000534057617188,1887.65285003
40,0.0580711364746,2228.7438369,0.0154950618744,2082.00478676,0.000542163848877,1887.65285003
45,0.0653998851776,1520.30020765,0.0174560546875,1993.34568689,0.000553846359253,1926.35615582
50,0.072781085968,1638.94322877,0.0192160606384,1377.34310878,0.000590085983276,1884.79516141
55,0.0784950256348,1661.30228216,0.0205299854279,1022.36568087,0.000696182250977,1844.70811138
60,0.0844259262085,1692.25040904,0.0218780040741,1080.47509021,0.000631093978882,1844.70811138
65,0.0916469097137,1610.83772159,0.0234270095825,1222.19433582,0.000622987747192,1844.70811138
70,0.0979089736938,1890.74133125,0.0247321128845,1258.24053555,0.000938892364502,1153.7686986
75,0.103495836258,1441.8690657,0.0258989334106,1445.89911578,0.000859022140503,1153.7686986
80,0.109700918198,1303.10328271,0.0272378921509,1655.06079002,0.000699043273926,1153.7686986
85,0.116994142532,1551.39550634,0.0286078453064,1580.81256492,0.000692844390869,1153.7686986
90,0.123088121414,1123.70032405,0.0299260616302,2162.3523553,0.000826835632324,801.684181059
95,0.128851175308,1329.76920135,0.0311591625214,2037.79409592,0.00180888175964,801.684181059
100,0.136291980743,1110.93668965,0.0328440666199,2146.15822536,0.000831127166748,801.684181059
