"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00810408592224,816.177424272,0.00507187843323,1839.23033729,0.000380992889404,2464.52127188
10,0.0157680511475,1137.62824647,0.00678586959839,1016.83900774,0.000410079956055,1668.92455181
15,0.0225160121918,912.81194013,0.00814199447632,1000.24241252,0.000427007675171,1229.4953087
20,0.0296080112457,884.572936019,0.00967812538147,865.058577074,0.000453948974609,1177.38607853
25,0.0368189811707,1088.37426087,0.0111949443817,668.320775308,0.00049090385437,1048.19396931
30,0.0442521572113,1173.95970457,0.0127279758453,537.843428243,0.000503063201904,1035.73166394
35,0.0510971546173,562.146258746,0.0141270160675,513.073370516,0.000653982162476,1035.73166394
40,0.0577578544617,729.988385706,0.015636920929,829.490825892,0.000524044036865,723.394090224
45,0.0650398731232,667.956487852,0.0170621871948,898.686042756,0.000552892684937,667.817565312
50,0.071769952774,564.873902835,0.0184907913208,877.757118994,0.000564098358154,551.256457097
55,0.0815370082855,864.386525458,0.0223739147186,881.41533522,0.000607013702393,523.274688406
60,0.0840620994568,531.318779827,0.0211799144745,864.144334488,0.00060510635376,523.274688406
65,0.0906310081482,599.395240046,0.0223889350891,731.712083202,0.000696897506714,484.859197476
70,0.0979919433594,567.424227815,0.0238590240479,889.31462953,0.000802993774414,484.859197476
75,0.104748010635,634.251095664,0.0251359939575,781.062574628,0.000669956207275,484.859197476
80,0.110872983932,608.632467468,0.0267841815948,826.812651451,0.000679969787598,484.859197476
85,0.119297981262,508.740393645,0.0278980731964,1407.05160118,0.000720024108887,461.286596194
90,0.122945070267,509.702537139,0.0292060375214,1273.99915815,0.000723123550415,461.286596194
95,0.129514932632,578.059597529,0.0306301116943,1230.05733475,0.000731945037842,461.286596194
100,0.136531829834,462.211591631,0.0316779613495,949.366352963,0.000808000564575,392.063159943
