"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00803017616272,1542.66969092,0.00495791435242,1821.58687069,0.000362873077393,1348.07506804
10,0.0157887935638,1470.7787531,0.00655293464661,800.308123512,0.000394105911255,1533.97255941
15,0.0226969718933,987.724787304,0.00825691223145,505.677010262,0.000425100326538,1351.99315367
20,0.0297741889954,991.727858151,0.00961804389954,476.535360427,0.000480890274048,905.603541825
25,0.0368630886078,1018.25533562,0.011353969574,962.692079497,0.000483989715576,942.47882996
30,0.0441420078278,670.520263033,0.0126128196716,546.493632828,0.000507116317749,942.47882996
35,0.0516839027405,912.824216632,0.014261007309,530.431115783,0.00052285194397,787.58000424
40,0.0582888126373,788.91283651,0.0155689716339,509.568386156,0.000571012496948,571.012143881
45,0.064337015152,378.059256384,0.0171940326691,509.115292601,0.000570058822632,571.012143881
50,0.0708830356598,449.02796372,0.0183501243591,526.426032237,0.000627040863037,496.319483147
55,0.0789089202881,392.650799923,0.0204050540924,572.371931018,0.000612020492554,496.319483147
60,0.0869390964508,467.863826768,0.0210771560669,559.457969727,0.000621795654297,496.319483147
65,0.0909910202026,450.934812482,0.0224821567535,606.637393696,0.000606060028076,496.319483147
70,0.0974931716919,408.662744254,0.0237109661102,453.05201651,0.000699996948242,383.998915875
75,0.105273008347,587.475751915,0.025358915329,417.637340783,0.000704050064087,383.998915875
80,0.113188028336,428.351878601,0.0268018245697,538.488230683,0.000725030899048,383.998915875
85,0.116813898087,669.466364479,0.0279550552368,836.858409432,0.000709056854248,383.998915875
90,0.123080968857,570.954171478,0.0289931297302,891.568419505,0.000868082046509,383.998915875
95,0.129504919052,454.078259295,0.0302739143372,112.559245435,0.000946998596191,336.676445108
100,0.134469032288,316.535564151,0.0314018726349,161.854814366,0.00096607208252,336.676445108
