"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00786781311035,2798.13492071,0.00487494468689,4517.1868693,0.000414133071899,4402.59492945
10,0.0151298046112,3292.18755069,0.00649905204773,4613.75044023,0.000419139862061,4098.09189005
15,0.0224289894104,3623.55604971,0.00809812545776,1812.55376536,0.000453948974609,2961.35703943
20,0.0294141769409,2830.48007545,0.00969004631042,2035.85007629,0.000656843185425,2334.64711412
25,0.0363740921021,2684.04673732,0.0113971233368,2299.13754537,0.000513076782227,1802.96045216
30,0.0466561317444,2142.37472218,0.0126309394836,1581.53772204,0.000523090362549,1540.29894633
35,0.0509569644928,2170.28201365,0.0143439769745,2195.20193601,0.000562906265259,1320.66986203
40,0.057254076004,2065.02000218,0.0155291557312,2038.89448935,0.000562191009521,1320.66986203
45,0.0639278888702,1797.38524166,0.0170700550079,2140.83736561,0.000646829605103,1233.55359629
50,0.0713000297546,1887.60703349,0.0184831619263,2377.21213682,0.000608921051025,1233.55359629
55,0.0772178173065,1927.43234679,0.0198640823364,2512.46382621,0.000604152679443,1233.55359629
60,0.0844111442566,2383.45260347,0.0212700366974,3033.98451575,0.000843048095703,1150.09651894
65,0.0898909568787,1785.36559244,0.0226080417633,3072.42532061,0.000685930252075,1150.09651894
70,0.0974559783936,1682.09684747,0.0240080356598,2382.11750145,0.000673055648804,1150.09651894
75,0.10398888588,1741.37005346,0.0252850055695,2171.90684861,0.000699996948242,1150.09651894
80,0.110859870911,1493.26500989,0.0267360210419,3249.11668286,0.000780820846558,884.681828779
85,0.117251873016,1226.29233658,0.0280699729919,2688.58912023,0.000779867172241,884.681828779
90,0.121513128281,1439.62418349,0.0298800468445,2537.55113178,0.000767946243286,884.681828779
95,0.127557992935,1261.78000238,0.0306880474091,2242.75799408,0.000807046890259,884.681828779
100,0.13320016861,1323.49889217,0.0319199562073,2580.4656817,0.000784873962402,884.681828779
