"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00787806510925,2091.59968781,0.00488185882568,3896.81061217,0.000419855117798,5488.27693772
10,0.0151159763336,2639.25041495,0.00647902488708,4212.24392792,0.000416040420532,4626.84279393
15,0.0223031044006,2414.97640869,0.00817894935608,1578.02899048,0.000446081161499,3525.22941888
20,0.0295000076294,2319.59159001,0.00963616371155,1352.76106885,0.000468969345093,2652.05592859
25,0.0365588665009,2231.23738108,0.0113978385925,1575.55847328,0.000492811203003,1322.53892435
30,0.0438280105591,1364.61726064,0.0126559734344,1419.37548862,0.00051212310791,1236.19979469
35,0.050793170929,3006.99243489,0.0142080783844,1406.59204207,0.000517845153809,1153.20879958
40,0.0572719573975,1852.90516865,0.0156850814819,1527.21882059,0.000673055648804,1162.68347121
45,0.0642020702362,2279.57772366,0.0171868801117,1519.31483513,0.000570058822632,1120.97466149
50,0.0703370571136,1600.6637136,0.0185861587524,1337.18899594,0.000629901885986,1009.03633685
55,0.0778739452362,1353.99742907,0.0203371047974,1384.95556917,0.000625848770142,1009.03633685
60,0.0833768844604,1486.15360825,0.0213148593903,1499.17862175,0.000619888305664,1009.03633685
65,0.0905539989471,1279.54112968,0.0226888656616,2239.58295367,0.000670194625854,889.187093983
70,0.0972208976746,1491.54837468,0.0240759849548,1742.010107,0.000678062438965,889.187093983
75,0.103425979614,911.829897929,0.0258209705353,1593.71469272,0.000663042068481,889.187093983
80,0.110434055328,967.087689381,0.0268340110779,2253.62424829,0.000669956207275,889.187093983
85,0.115815162659,1434.3966443,0.0281889438629,1836.92815127,0.000701904296875,894.253160195
90,0.122142076492,1154.00405692,0.0295538902283,1697.74496444,0.000705003738403,894.253160195
95,0.129774808884,843.22134596,0.0307199954987,1596.9367935,0.000842094421387,894.253160195
100,0.133694887161,821.334643858,0.0320370197296,1543.99009907,0.000771045684814,776.480339169
