"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00786685943604,2667.08084949,0.00497603416443,5630.95623934,0.000405073165894,2891.58849263
10,0.0152838230133,2112.09359664,0.00661087036133,2435.16652648,0.000416994094849,2653.42076092
15,0.0221138000488,1645.38684293,0.00821614265442,1273.01951682,0.000430822372437,2477.92064877
20,0.0294098854065,1499.86423181,0.00974011421204,1749.72009435,0.00049090385437,1928.75074627
25,0.0367038249969,1590.06114258,0.0113091468811,1182.01183452,0.00048303604126,1900.20055624
30,0.043133020401,1244.36707333,0.0127758979797,1010.75979014,0.00051212310791,1651.42809205
35,0.0500998497009,1082.38463417,0.0146200656891,1164.91976386,0.000519037246704,1366.21960491
40,0.0562450885773,1550.58689467,0.0160899162292,1193.4105868,0.000531911849976,1315.8929248
45,0.0637788772583,1141.93570597,0.0176939964294,1537.68192642,0.000543117523193,1277.81658466
50,0.0704469680786,994.573397849,0.018856048584,1767.82978532,0.00058388710022,1143.63133158
55,0.0767750740051,1120.52686059,0.0202748775482,1451.03446543,0.000607967376709,1128.71287382
60,0.0834231376648,1399.51116607,0.0216829776764,1224.15369938,0.000592947006226,1128.71287382
65,0.0899169445038,1062.58843138,0.0228600502014,1881.87620988,0.000614881515503,1000.50925744
70,0.095780134201,1138.33662533,0.024228811264,1640.12766776,0.000685930252075,825.170876409
75,0.102530956268,1006.45171166,0.0255532264709,1318.61648427,0.000686168670654,825.170876409
80,0.108461856842,959.702048202,0.0273461341858,1314.07666773,0.000699996948242,825.170876409
85,0.115802049637,954.798005316,0.0291459560394,1566.69699253,0.000720024108887,751.770180963
90,0.120547056198,1060.43103184,0.0295920372009,1263.78591614,0.000726222991943,751.770180963
95,0.128073215485,873.360143147,0.0308799743652,1083.09309703,0.000726938247681,751.770180963
100,0.132052898407,866.121914685,0.0322241783142,1130.33385788,0.000718116760254,751.770180963
