"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00994300842285,1614.13741176,0.00511407852173,1398.93791393,0.000405073165894,1032.42156128
10,0.015988111496,1191.95141318,0.00655198097229,938.94835181,0.000404119491577,1709.3425442
15,0.0223019123077,1437.68507978,0.00809597969055,912.977785706,0.000438928604126,1524.34779097
20,0.0294778347015,1130.89942592,0.0101940631866,756.81667631,0.000469923019409,1036.99040663
25,0.0369849205017,834.481041294,0.0114648342133,889.409980303,0.000494956970215,977.834466532
30,0.0531039237976,737.935380957,0.0127708911896,623.163327715,0.000692129135132,861.917573232
35,0.0517871379852,731.097943959,0.014307975769,658.39419415,0.000527858734131,861.917573232
40,0.0591440200806,897.929900928,0.0155508518219,654.286945309,0.000557899475098,845.235593791
45,0.0648629665375,806.965889664,0.0170221328735,678.234587301,0.000560998916626,845.235593791
50,0.074383020401,912.044201214,0.0183320045471,679.017919765,0.000625133514404,551.302107875
55,0.0781500339508,810.307102118,0.019702911377,718.138886437,0.000647068023682,551.302107875
60,0.0847358703613,584.482202969,0.0211350917816,739.332081875,0.000627994537354,551.302107875
65,0.0921909809113,664.495124452,0.0225689411163,729.152008479,0.00062894821167,551.302107875
70,0.0985159873962,675.782820562,0.0239160060883,595.312817175,0.000777006149292,533.185399675
75,0.104660987854,711.102403351,0.0252521038055,722.277983393,0.000653028488159,533.185399675
80,0.110529899597,658.481295615,0.0261569023132,577.704328033,0.000655889511108,533.185399675
85,0.11704492569,710.536761785,0.0278639793396,628.831229048,0.00072193145752,457.477855091
90,0.125024080276,663.739508221,0.0291919708252,545.482887193,0.00138187408447,457.477855091
95,0.129768133163,634.314362341,0.0305140018463,559.973244887,0.000862836837769,457.477855091
100,0.135869979858,569.053545153,0.0317780971527,602.855453986,0.000730037689209,457.477855091
