"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0102460384369,2455.58333234,0.00489687919617,1592.31864646,0.000385046005249,406.794601495
10,0.0153319835663,1029.54725811,0.00650095939636,1530.56698873,0.000411033630371,348.794664567
15,0.0223698616028,1586.82521898,0.0080931186676,1194.26866605,0.000424861907959,364.689540038
20,0.0302059650421,833.187938669,0.00964593887329,968.878657234,0.000452041625977,1063.73012056
25,0.0361878871918,1059.20318306,0.0111148357391,622.713398888,0.00046181678772,1042.21360914
30,0.0470290184021,812.64276217,0.0127010345459,642.068411413,0.000496864318848,790.211685021
35,0.0506808757782,839.262878199,0.0150849819183,687.259012712,0.000533819198608,831.862504428
40,0.0578849315643,928.733500091,0.0158348083496,856.238934286,0.000540971755981,516.004511908
45,0.068324804306,541.760934334,0.0167651176453,871.928308277,0.000536918640137,516.004511908
50,0.0711469650269,606.5976651,0.0182981491089,284.898019415,0.000570058822632,502.185052078
55,0.077595949173,698.950563033,0.0196549892426,257.681573603,0.000571012496948,488.633323777
60,0.0841190814972,490.282413589,0.020968914032,385.334297402,0.000608921051025,405.300325854
65,0.0905890464783,373.723801819,0.0223679542542,306.145910968,0.000607013702393,405.300325854
70,0.0968990325928,541.030627859,0.0237591266632,410.499284536,0.000643968582153,378.922039199
75,0.103008985519,433.171735105,0.0251460075378,412.908441205,0.000643014907837,378.922039199
80,0.109945774078,468.600414231,0.0263500213623,243.094380728,0.000643968582153,378.922039199
85,0.141459941864,423.025136422,0.0293669700623,278.0256653,0.000715017318726,342.83386662
90,0.123335123062,350.958200407,0.0291109085083,258.889272913,0.000727891921997,342.83386662
95,0.129282951355,472.589619491,0.0306510925293,250.563140434,0.00083589553833,342.83386662
100,0.135341882706,364.554748972,0.0436890125275,256.449292087,0.000710964202881,342.83386662
