"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00706005096436,2030.17150589,0.00444388389587,3771.00117303,0.000370979309082,2568.09118095
10,0.01349401474,3654.35351644,0.00584506988525,2565.83118851,0.000377178192139,3341.30546002
15,0.0198800563812,3011.58181689,0.00723600387573,1770.50565044,0.000391960144043,3252.40542111
20,0.0262539386749,2759.5488729,0.0085608959198,1492.43168733,0.000434160232544,2112.47406106
25,0.0322370529175,2525.31961938,0.00992202758789,1471.21330616,0.000444889068604,2213.05838204
30,0.0388150215149,2106.57117813,0.0112459659576,1004.88604579,0.000459909439087,1803.0637381
35,0.0445489883423,964.365298121,0.0124571323395,1253.59437596,0.000488996505737,1757.41140127
40,0.0504670143127,1393.72365593,0.0137400627136,1290.66145695,0.000638008117676,1694.87277368
45,0.0566561222076,1205.84856658,0.0150039196014,1415.00591167,0.000504970550537,1694.87277368
50,0.0619990825653,1336.32115269,0.01629114151,1638.04120352,0.000536203384399,1485.28079491
55,0.0679850578308,1212.03639724,0.0175228118896,1658.88686326,0.000566005706787,1376.96143664
60,0.0737578868866,2188.1451352,0.0186698436737,1560.04952641,0.000566005706787,1376.96143664
65,0.0803270339966,1901.46052507,0.0199270248413,2372.48818625,0.000633001327515,987.279683197
70,0.0861668586731,1844.79908705,0.0210239887238,2340.96893304,0.000642061233521,987.279683197
75,0.0916321277618,1904.80611188,0.0222890377045,2418.94301999,0.000632047653198,987.279683197
80,0.0967519283295,1000.48451836,0.0233361721039,2429.65567623,0.000709056854248,820.395713905
85,0.102288961411,957.104065019,0.0245521068573,2212.02981061,0.000706195831299,820.395713905
90,0.108618021011,974.731530152,0.0255579948425,1812.96831534,0.000729084014893,820.395713905
95,0.113987922668,954.993979453,0.0267651081085,2052.98119881,0.000730037689209,820.395713905
100,0.118720054626,851.455832233,0.0277709960938,1740.34474584,0.000833034515381,820.395713905
