"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00898694992065,2017.06364151,0.00496220588684,5190.16472335,0.000414848327637,4053.4626679
10,0.0164921283722,2298.65402112,0.00656890869141,1669.28206936,0.000431060791016,3574.83105475
15,0.0237741470337,1901.32891167,0.00815296173096,1802.59571472,0.000461101531982,2140.72082052
20,0.029461145401,2402.18129963,0.00964307785034,1415.16612056,0.000477075576782,1653.75571975
25,0.036906003952,2242.70385351,0.011134147644,1302.67137356,0.000488996505737,1651.49134837
30,0.0440280437469,1273.40862089,0.0126760005951,1421.37824576,0.000536918640137,1181.46489786
35,0.0506238937378,1700.25091374,0.0141401290894,1198.74609871,0.00054407119751,1181.46489786
40,0.0581500530243,1924.65326521,0.0156710147858,1036.48893959,0.000548124313354,1152.39411699
45,0.0645260810852,1623.87994349,0.0170578956604,1076.71353735,0.000577926635742,1033.50492325
50,0.0703358650208,1324.732231,0.0184361934662,787.681260147,0.000578880310059,1033.50492325
55,0.0771470069885,1133.66910783,0.0198440551758,772.970029923,0.00061297416687,971.117764334
60,0.083477973938,1607.15634088,0.0212349891663,774.862433746,0.000633001327515,971.117764334
65,0.0912640094757,1066.47518733,0.022586107254,861.390057868,0.000821113586426,848.913894233
70,0.0960531234741,1351.69845534,0.0240771770477,744.335651213,0.000805854797363,848.913894233
75,0.103499174118,966.396922737,0.0253078937531,696.273700201,0.000819206237793,848.913894233
80,0.110013008118,1413.6597287,0.0267190933228,1594.25005926,0.000813007354736,848.913894233
85,0.116743087769,1575.53568906,0.0279881954193,1669.56347921,0.000747919082642,768.308606327
90,0.12321805954,1530.64893476,0.0294790267944,993.839690282,0.000756978988647,768.308606327
95,0.140956878662,987.670090651,0.0336730480194,1042.28005252,0.000756978988647,768.308606327
100,0.135297060013,1283.14053678,0.0338070392609,1318.15346188,0.000763177871704,768.308606327
