"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0101759433746,2929.31144713,0.00490188598633,5953.57293802,0.000423908233643,2596.90879069
10,0.0156919956207,2802.04209681,0.00656580924988,1551.9065143,0.000428915023804,2448.2707425
15,0.0223879814148,2419.85284028,0.00808000564575,2190.34323034,0.000437021255493,2316.2573663
20,0.0342628955841,2717.68868098,0.0100932121277,1631.80414311,0.000475883483887,2233.37714736
25,0.0372569561005,1970.57879136,0.0111458301544,2049.98622515,0.000496864318848,2073.4062464
30,0.0444002151489,2505.55611619,0.0126931667328,1785.07585757,0.000509977340698,2011.91907813
35,0.0505139827728,2605.93540948,0.0140810012817,1455.45789495,0.000524997711182,1732.27004723
40,0.0579469203949,1595.93664131,0.015899181366,1525.80155814,0.000542879104614,1603.29055088
45,0.0651240348816,2438.90584747,0.0172228813171,1552.48900351,0.000562906265259,1330.70021264
50,0.0708041191101,1276.18662571,0.0189759731293,1264.911042,0.000573873519897,1253.83167949
55,0.0791640281677,1904.35442479,0.0196549892426,1546.48771514,0.00062108039856,1139.59664944
60,0.0842051506042,1538.80087592,0.0210690498352,1544.71392929,0.000694990158081,1139.59664944
65,0.101747989655,1679.31825979,0.0239100456238,1617.99915812,0.00082802772522,1077.34745253
70,0.0977749824524,2012.67877506,0.0249569416046,1255.8300208,0.000694990158081,1077.34745253
75,0.103422164917,1796.22791725,0.0260879993439,1384.84048978,0.000710010528564,1077.34745253
80,0.111178874969,1045.68947479,0.0275890827179,1444.17314817,0.000697135925293,1077.34745253
85,0.116723060608,1785.01712618,0.0287780761719,1640.07224246,0.000740051269531,963.341020103
90,0.124758958817,1417.90890093,0.0306241512299,1327.3794701,0.000988960266113,963.341020103
95,0.129263162613,1637.40357805,0.0314948558807,1402.42687317,0.000747919082642,963.341020103
100,0.134401082993,1612.72138572,0.0329749584198,1513.7515241,0.00100302696228,797.475672801
