"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00774502754211,333554.617284,0.00482702255249,719693.50045,0.00041389465332,295636.594651
10,0.0152838230133,193139.657906,0.00655698776245,214366.185354,0.000415086746216,295636.594651
15,0.0221221446991,103285.020457,0.00822401046753,188097.146228,0.000434160232544,193545.101936
20,0.0293090343475,162426.259881,0.00969004631042,120212.094921,0.00048303604126,110409.287128
25,0.036759853363,110606.744599,0.0114209651947,104008.852246,0.000497102737427,97401.0161747
30,0.0445990562439,117515.641248,0.0128281116486,77775.0139185,0.000527143478394,95929.6082519
35,0.0505208969116,127232.681958,0.0141608715057,85684.9282579,0.000550031661987,92424.657506
40,0.0570750236511,87898.6706018,0.0159358978271,105990.808961,0.000677824020386,92424.657506
45,0.0638561248779,76680.3389217,0.0169858932495,178789.315223,0.000558853149414,92416.59353
50,0.0704209804535,188290.619309,0.0185458660126,173088.004756,0.000566959381104,83223.1306653
55,0.0765368938446,74048.3619677,0.0200459957123,169218.524376,0.000586032867432,70780.1007515
60,0.0836310386658,81521.7089056,0.021252155304,198261.980951,0.000652074813843,56338.8899962
65,0.0909609794617,168245.972892,0.0226919651031,178128.293913,0.000633955001831,56338.8899962
70,0.0974068641663,60264.5468777,0.0240578651428,147979.036573,0.000739097595215,43831.8791789
75,0.106318950653,87381.9003209,0.024936914444,153500.80444,0.000730037689209,43831.8791789
80,0.109745025635,68433.7350873,0.0264461040497,157485.079904,0.00072979927063,43831.8791789
85,0.116061210632,70354.6140509,0.0277569293976,148705.121157,0.000731945037842,43831.8791789
90,0.122313976288,82717.997702,0.029000043869,146686.022214,0.000730991363525,43831.8791789
95,0.127281904221,88177.6283166,0.0301299095154,145581.769849,0.000844955444336,43831.8791789
100,0.133368015289,111326.882315,0.0314419269562,174919.237025,0.000826120376587,38004.8068745
