"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00898408889771,897.723972169,0.00489091873169,1511.51962016,0.000426054000854,1146.24048472
10,0.0166661739349,963.027752294,0.00652718544006,1054.35593609,0.000412940979004,1012.62108545
15,0.0225520133972,890.386487231,0.00805282592773,857.91378153,0.000431060791016,874.906539643
20,0.0293910503387,817.642811796,0.00973606109619,571.687357916,0.00043797492981,866.706847209
25,0.0370309352875,535.051003819,0.0110411643982,527.513769491,0.000555992126465,708.0594377
30,0.0433158874512,860.783188467,0.0125641822815,484.341720223,0.000496864318848,491.847595833
35,0.0511329174042,699.435832201,0.0140111446381,601.697990713,0.000503063201904,478.945176324
40,0.0573880672455,852.835115894,0.0154190063477,672.295035677,0.00051212310791,479.046424163
45,0.0642809867859,655.909157917,0.0169961452484,599.580182191,0.000530958175659,476.898784816
50,0.0707881450653,662.660623137,0.0181679725647,780.088164749,0.000556945800781,416.31325188
55,0.0774900913239,641.558910968,0.0196678638458,815.68019069,0.000605821609497,383.538429801
60,0.0840079784393,546.154546488,0.02108502388,750.577864262,0.000602006912231,383.538429801
65,0.0904750823975,553.382147713,0.0231800079346,554.485182217,0.000636100769043,372.657207496
70,0.0971319675446,393.083642431,0.0244650840759,560.044869157,0.000638008117676,372.657207496
75,0.103627920151,523.116940798,0.0253419876099,541.774027432,0.000776052474976,361.158030244
80,0.11044383049,603.111749732,0.0266869068146,593.953185745,0.00067400932312,361.158030244
85,0.116098880768,441.385338188,0.0279951095581,630.684440038,0.000678062438965,361.158030244
90,0.12236905098,378.86258803,0.0289349555969,722.075731919,0.000689029693604,363.370137412
95,0.12841796875,381.590636647,0.0302641391754,681.953676344,0.000686168670654,363.370137412
100,0.135761022568,364.309880393,0.0324649810791,715.802416779,0.00075101852417,337.189952105
