"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00885987281799,529.54586126,0.00481009483337,1376.76923081,0.000406980514526,730.614326878
10,0.0168521404266,1329.51295645,0.00648617744446,1289.17224224,0.000399112701416,920.481017507
15,0.0250520706177,949.402318934,0.00800514221191,823.517086381,0.000438213348389,850.893397866
20,0.0302059650421,793.579930338,0.00962400436401,751.80360979,0.00045108795166,788.70631484
25,0.0368061065674,943.605035224,0.0111839771271,1024.43031504,0.000488042831421,760.075621001
30,0.0452170372009,735.891322663,0.0128209590912,640.47938038,0.000504016876221,621.289674318
35,0.0510668754578,964.706969106,0.0158100128174,704.689449254,0.000499963760376,621.289674318
40,0.0576279163361,811.741964661,0.0154058933258,877.202690767,0.000562906265259,570.768346524
45,0.0651559829712,711.680132646,0.0168769359589,1004.46089688,0.000562906265259,570.768346524
50,0.0704920291901,564.240639726,0.0182800292969,650.725626224,0.000602960586548,492.145334758
55,0.0779218673706,533.501314414,0.0195860862732,696.126721678,0.000576019287109,492.145334758
60,0.0835061073303,522.638828779,0.0208752155304,1005.5505072,0.000574827194214,492.145334758
65,0.0904490947723,524.72550619,0.0223479270935,715.229783644,0.000684022903442,454.909982872
70,0.0974950790405,583.555744347,0.0235149860382,968.264345094,0.000792980194092,454.909982872
75,0.102936983109,412.562960175,0.0251948833466,641.226040991,0.000659942626953,454.909982872
80,0.109695911407,500.509770344,0.0266141891479,643.210617376,0.00071907043457,357.224225395
85,0.115946054459,415.914899934,0.0277891159058,589.734075614,0.000712871551514,357.224225395
90,0.122473955154,446.922887208,0.0291299819946,506.929399096,0.000732898712158,357.224225395
95,0.13535618782,447.314681566,0.0306301116943,445.228978383,0.000833988189697,357.224225395
100,0.135673046112,428.548377414,0.0314309597015,481.731982335,0.000791072845459,315.017872695
