"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00844287872314,61.1851916505,0.00490713119507,89.0232904069,0.000349998474121,72.4841140019
10,0.015065908432,50.3985196694,0.00676894187927,47.1184946795,0.000359058380127,76.4114112992
15,0.0221939086914,46.6319030675,0.00844502449036,20.6799589731,0.000378131866455,58.6709272527
20,0.0303089618683,39.5054134127,0.00946307182312,22.9987456474,0.000401973724365,44.6008427008
25,0.0372381210327,59.2947749354,0.0113270282745,24.8683761006,0.00043797492981,44.7163951638
30,0.0441009998322,30.1759423812,0.0123980045319,19.9929239906,0.000431060791016,43.1916209536
35,0.0508270263672,27.7082015864,0.0137619972229,23.1157393801,0.00043797492981,42.9639292602
40,0.058436870575,26.1594470421,0.0157678127289,29.3851586527,0.000452041625977,35.9318454394
45,0.0640339851379,26.1918323647,0.0169379711151,22.6688525226,0.00047492980957,35.9898299156
50,0.0707309246063,20.0699729293,0.0181491374969,22.2645211153,0.000494003295898,34.6136979271
55,0.0769829750061,39.7615035282,0.0194489955902,24.1598588806,0.000530004501343,25.2660438584
60,0.0921549797058,21.7788798953,0.0246131420135,44.252139025,0.000663995742798,25.2660438584
65,0.0909459590912,25.5215083483,0.0224180221558,16.0669293252,0.000733137130737,20.3363992976
70,0.0971450805664,25.1876204731,0.0242269039154,11.5867675286,0.000730991363525,20.3363992976
75,0.104510068893,24.1064745197,0.0250718593597,12.107554204,0.000768899917603,20.3363992976
80,0.114558935165,23.8178638254,0.0260410308838,13.3139738104,0.000739097595215,20.3363992976
85,0.11669421196,17.4695726481,0.0275449752808,16.6881460106,0.000654935836792,18.7581262365
90,0.121592998505,18.9032069771,0.028548002243,14.0162332484,0.000657081604004,18.7581262365
95,0.128540039062,23.2591860653,0.0299191474915,14.3511901103,0.000692129135132,18.7581262365
100,0.134626150131,21.2429987988,0.0312919616699,8.35351662304,0.000659942626953,18.7581262365
