"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00797295570374,4062.81848254,0.00489497184753,6442.66719722,0.000394105911255,4600.65194493
10,0.0151159763336,4587.30149399,0.0064868927002,4848.85810496,0.000420093536377,5188.27230209
15,0.0222990512848,1688.11949249,0.00811290740967,1922.94766382,0.000458002090454,4884.05179192
20,0.0289747714996,3090.83112292,0.00982809066772,1595.26153411,0.000494003295898,2158.1935957
25,0.106700181961,2055.89379061,0.0111100673676,1460.49653987,0.000489950180054,2158.1935957
30,0.0429420471191,2040.61252072,0.0126271247864,1554.17490866,0.000540018081665,1656.65660536
35,0.0499391555786,2727.33132176,0.0141558647156,4932.23678891,0.000548124313354,1656.65660536
40,0.0571258068085,2825.43546939,0.0155098438263,3484.10378513,0.000555038452148,1528.0397359
45,0.0635850429535,1409.22398728,0.016979932785,3447.9545298,0.000550031661987,1528.0397359
50,0.0703041553497,2191.94506058,0.0183520317078,2571.54793564,0.000590085983276,1429.73890929
55,0.077376127243,2844.88285209,0.0199642181396,4085.71864436,0.000584125518799,1429.73890929
60,0.0833261013031,1319.92015187,0.021222114563,3712.231134,0.000636100769043,1382.60013938
65,0.0893139839172,1414.28063043,0.022693157196,3510.99313326,0.00062108039856,1382.60013938
70,0.0960919857025,1649.98896139,0.0239479541779,2525.0126101,0.000634908676147,1382.60013938
75,0.102632045746,1265.94436283,0.0253520011902,2401.7656849,0.000727891921997,1254.39907072
80,0.109328985214,1567.84270237,0.0266311168671,2603.82710794,0.00070595741272,1254.39907072
85,0.114567995071,1342.35302305,0.0280010700226,2607.30612575,0.000707149505615,1254.39907072
90,0.122001171112,1395.04807832,0.0292339324951,2576.72740935,0.000849008560181,1254.39907072
95,0.127509832382,1314.30192169,0.0305759906769,2378.62319259,0.000928163528442,1086.95836049
100,0.132735013962,1300.72854303,0.0318319797516,3655.67431663,0.00080394744873,1086.95836049
