"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00782704353333,2876.25708947,0.00484609603882,6205.44039669,0.000396966934204,5606.97139041
10,0.0150508880615,6452.77413402,0.00644111633301,3391.51995726,0.000427007675171,4380.26368954
15,0.0219910144806,4230.75275933,0.00806188583374,2720.14817134,0.000444889068604,4845.07279429
20,0.0291500091553,2892.75959419,0.0095751285553,1988.29254039,0.000472068786621,3600.16914844
25,0.0361080169678,4411.97880887,0.0110800266266,2916.82149127,0.000494956970215,2430.57538122
30,0.0430009365082,4163.18980214,0.0126187801361,2026.43755485,0.000524997711182,2439.03191456
35,0.0502488613129,3698.90982556,0.0140070915222,1774.02400768,0.000514984130859,2439.03191456
40,0.0567009449005,2978.09380974,0.015506029129,3831.87438094,0.000540971755981,2100.11345086
45,0.0635261535645,2488.17963317,0.0168709754944,4027.24454683,0.000635147094727,1388.47663308
50,0.0703258514404,2437.0588331,0.0183708667755,4291.03787881,0.000645160675049,1388.47663308
55,0.0785541534424,2077.25485981,0.0197141170502,4439.77471782,0.000638961791992,1388.47663308
60,0.0830960273743,2578.09361918,0.0210480690002,4090.73539936,0.000636100769043,1388.47663308
65,0.0900599956512,3988.07306643,0.0224351882935,5378.25303975,0.000880002975464,1197.35405487
70,0.0958750247955,1710.26889642,0.023775100708,5011.32829353,0.000716924667358,1197.35405487
75,0.10317492485,1303.84393136,0.0251438617706,4692.06177092,0.000715017318726,1197.35405487
80,0.10896897316,1937.3885292,0.026575088501,4619.67364836,0.000715970993042,1197.35405487
85,0.115235090256,1492.61957417,0.027764081955,4585.28553781,0.000750780105591,1197.35405487
90,0.122709989548,1262.5597155,0.0290470123291,4102.56255366,0.000874042510986,1197.35405487
95,0.126452922821,1507.89275115,0.0306460857391,4028.67210708,0.00073504447937,1197.35405487
100,0.13369512558,1506.18714425,0.0315449237823,2988.36157399,0.00083589553833,911.452393826
