"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00812697410583,6203.15070565,0.00578713417053,9129.34344998,0.000391960144043,9540.52732027
10,0.0159921646118,6673.52606259,0.00662398338318,5357.88025359,0.000411987304688,8916.18413856
15,0.0237219333649,3770.80633556,0.00825095176697,5524.37777975,0.000432968139648,8528.03247274
20,0.0307950973511,3638.15493888,0.00983095169067,5652.81362683,0.000463008880615,8316.15772344
25,0.0373921394348,4520.83253178,0.0113549232483,3824.25534493,0.000494003295898,5961.98383427
30,0.0450441837311,4877.50157237,0.0129058361053,2847.01911518,0.000505208969116,3556.64221675
35,0.0523059368134,4666.28486613,0.0143899917603,3555.01574639,0.00055193901062,3120.63749176
40,0.0580670833588,5493.70607244,0.0158309936523,3399.48807953,0.000546932220459,3120.63749176
45,0.065258026123,5274.37068243,0.0178408622742,3535.69708986,0.000641107559204,2836.12485287
50,0.0834522247314,4312.12925836,0.0190801620483,3579.62396513,0.000607967376709,2836.12485287
55,0.0785889625549,3881.74470713,0.0201919078827,3232.01434823,0.00060510635376,2836.12485287
60,0.0848219394684,3788.86169796,0.0218801498413,2534.55051182,0.000834941864014,2537.87677854
65,0.0915319919586,3070.77880032,0.0228428840637,2382.70459367,0.000690937042236,2537.87677854
70,0.0987939834595,2957.17908779,0.0242490768433,2527.42754573,0.00115203857422,2537.87677854
75,0.110677957535,3698.51068181,0.0305709838867,2433.87696543,0.000694036483765,2537.87677854
80,0.110505104065,2641.50475362,0.026869058609,4952.13567976,0.000689029693604,2537.87677854
85,0.11573600769,2669.08976191,0.0281949043274,2962.69203659,0.000781059265137,2315.59722017
90,0.121999979019,2566.27624333,0.0294389724731,3201.64009327,0.000794172286987,2315.59722017
95,0.128213167191,2802.39386613,0.0308930873871,2629.86922516,0.000787973403931,2315.59722017
100,0.134542942047,2312.63746098,0.0321118831635,2418.68006307,0.00079607963562,2315.59722017
