"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00804495811462,5269.44007649,0.0049090385437,7801.95182684,0.000386953353882,6473.30846408
10,0.0154111385345,3414.29222173,0.00648903846741,2992.60643087,0.00040602684021,4286.04233704
15,0.0225381851196,3280.23100007,0.00814485549927,1811.42157278,0.000443935394287,3913.38170952
20,0.0334610939026,2471.16552986,0.0094780921936,1757.68135639,0.000457048416138,3820.42615546
25,0.0366170406342,2393.59178295,0.0110540390015,1577.96764824,0.000469207763672,3800.69546143
30,0.0433580875397,1898.19024373,0.0125257968903,1201.45155429,0.000488042831421,1768.74168081
35,0.0525221824646,2277.12391117,0.0140149593353,1199.17789627,0.000505924224854,1745.59522767
40,0.068708896637,1807.49373632,0.0157170295715,1625.17239946,0.000519990921021,1729.31737039
45,0.0650129318237,1832.78412667,0.0169358253479,1602.05575286,0.000576972961426,1681.58035108
50,0.0724680423737,1407.24092701,0.0183119773865,2820.93485878,0.000725030899048,1660.92873679
55,0.0790998935699,1379.0662494,0.0204620361328,1946.04953809,0.000574111938477,1660.92873679
60,0.085037946701,1706.14635658,0.0218548774719,3102.41378115,0.000663042068481,1412.45634413
65,0.0916249752045,1532.53344706,0.0234699249268,1916.82052046,0.000652074813843,1412.45634413
70,0.0987088680267,1080.56626691,0.0245308876038,2980.90754312,0.000642061233521,1412.45634413
75,0.104434013367,1257.62807278,0.026417016983,3514.11228562,0.000760078430176,947.858828163
80,0.110587120056,1046.63477745,0.0278580188751,1559.55566463,0.000737190246582,947.858828163
85,0.117580890656,1083.8979865,0.0288331508636,3847.49139797,0.000739812850952,947.858828163
90,0.122792959213,1502.50681611,0.0306639671326,1498.50544155,0.000732898712158,947.858828163
95,0.128525972366,969.670632533,0.0311269760132,1406.298811,0.000740051269531,947.858828163
100,0.135993003845,1056.00616134,0.0325028896332,4372.50198522,0.00083589553833,796.494607608
