"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00998902320862,1612.88142039,0.00488209724426,3299.30439775,0.000381946563721,1717.56059836
10,0.0157539844513,1922.24424655,0.00659489631653,2091.37796578,0.000403165817261,3123.32734265
15,0.0224859714508,1551.93115863,0.0158050060272,1732.2192986,0.000430107116699,1808.57470189
20,0.0294108390808,1238.72961868,0.00990700721741,1932.20838142,0.000469923019409,1797.41216559
25,0.0367331504822,1576.23697909,0.0111899375916,1753.16036092,0.000473976135254,1734.50008318
30,0.0436320304871,1313.44519554,0.0125889778137,1308.78573379,0.000504016876221,1542.8182755
35,0.0508270263672,1251.18956001,0.0145900249481,1663.72541428,0.000503063201904,1542.8182755
40,0.0576069355011,1324.42532339,0.0157680511475,1773.49210134,0.00053596496582,1135.74882204
45,0.0640277862549,1422.47309764,0.0169930458069,1727.94093261,0.00057315826416,999.713021615
50,0.0712919235229,1182.46578393,0.0186750888824,1097.80451372,0.000603199005127,999.713021615
55,0.0773830413818,1305.31455227,0.0195758342743,1909.19098969,0.000610828399658,1005.47613664
60,0.0837430953979,1198.35156714,0.0209958553314,1135.06962735,0.000613212585449,1005.47613664
65,0.0907220840454,1198.9990451,0.0226199626923,1048.27173653,0.000607013702393,1005.47613664
70,0.0964179039001,1165.48212496,0.0237240791321,1216.30974638,0.000679969787598,908.672860838
75,0.103494882584,1193.8767565,0.0257201194763,1113.67776999,0.000893115997314,908.672860838
80,0.109449863434,1081.40405393,0.0270810127258,1102.77312735,0.000688076019287,908.672860838
85,0.114734888077,986.092101618,0.0281000137329,1063.95884909,0.000886917114258,812.981327069
90,0.121594905853,1009.28428315,0.0294981002808,1951.15004489,0.000901937484741,812.981327069
95,0.128444910049,1250.36919689,0.03005194664,1732.65021792,0.000760078430176,812.981327069
100,0.133859157562,1057.62527471,0.0319011211395,1819.92882427,0.000833988189697,812.981327069
