"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00680899620056,60853.989,0.0043420791626,71109.1759001,0.000344038009644,81631.006429
10,0.0129098892212,70882.2434111,0.00550889968872,55801.7833146,0.000352144241333,88310.6169957
15,0.0192358493805,74556.1211274,0.00691604614258,42750.5179852,0.000384092330933,94881.3086422
20,0.0254778862,72072.133159,0.00822591781616,51417.9544471,0.000503063201904,63122.8344117
25,0.0313279628754,42997.2363045,0.00951910018921,68085.7669012,0.000430107116699,52455.7126566
30,0.0370259284973,52000.9678422,0.0109009742737,34678.2579793,0.000443935394287,51271.9853849
35,0.0428340435028,36968.3958378,0.0120511054993,38602.4661086,0.000470876693726,43390.7119471
40,0.0493338108063,53852.0559512,0.0132200717926,40745.1662573,0.000494003295898,42000.3374493
45,0.0541751384735,38059.3964642,0.0143849849701,41442.8925812,0.000503778457642,42000.3374493
50,0.0597469806671,49460.7372,0.0156970024109,28496.7190931,0.000549077987671,33885.3984749
55,0.0657780170441,30525.1555516,0.0174078941345,28004.6407684,0.000550985336304,33885.3984749
60,0.0714600086212,28939.8791802,0.0180811882019,34476.8116538,0.000695943832397,33885.3984749
65,0.075709104538,36258.250834,0.0191769599915,29081.7025436,0.000756025314331,24972.2315635
70,0.0813488960266,62308.1363786,0.0202541351318,32495.1851413,0.000643014907837,24972.2315635
75,0.0874648094177,34489.9601896,0.0214910507202,63474.153678,0.000642061233521,24972.2315635
80,0.0923027992249,35484.0484227,0.022481918335,76567.0923245,0.000638961791992,24972.2315635
85,0.0969638824463,38219.4589722,0.0248639583588,54671.2629882,0.000643968582153,24972.2315635
90,0.102366924286,34558.3515479,0.0246438980103,59086.2759765,0.000777006149292,20348.5689025
95,0.107570886612,30160.9062247,0.0258421897888,54542.4585599,0.000792980194092,20348.5689025
100,0.112641811371,41247.7276519,0.0268220901489,56730.8104466,0.000921964645386,20348.5689025
