"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00790596008301,2887.37648106,0.00493788719177,2013.28333736,0.0003821849823,2298.92898885
10,0.015172958374,2451.25995164,0.00664710998535,1187.21971175,0.000404119491577,2364.61334029
15,0.0224740505219,920.940980392,0.00818681716919,1127.56176125,0.000427961349487,2353.68474191
20,0.0295469760895,2010.50646628,0.00963091850281,1173.05269992,0.000471115112305,1990.1808439
25,0.036945104599,1219.48804782,0.0111382007599,932.028763235,0.000506162643433,1179.89031813
30,0.0465841293335,1015.3629634,0.012678861618,1432.83883555,0.000510931015015,1179.89031813
35,0.0504631996155,864.553344105,0.0141739845276,1554.56489019,0.000522136688232,1138.43489973
40,0.0574009418488,903.454616488,0.0155611038208,1518.6435224,0.000530004501343,1138.43489973
45,0.0643949508667,912.923297978,0.0169320106506,1378.97096504,0.000539064407349,1047.11121381
50,0.0707991123199,953.725636705,0.0184800624847,1622.35392044,0.000725030899048,998.167373593
55,0.077241897583,776.855609123,0.0197329521179,1632.23931951,0.000613927841187,998.167373593
60,0.083713054657,830.150171674,0.021134853363,2055.47300443,0.000649929046631,985.153795615
65,0.0911071300507,764.164717516,0.0225160121918,1926.7015619,0.00064492225647,985.153795615
70,0.097058057785,774.136781668,0.023875951767,2097.08469506,0.000771045684814,985.153795615
75,0.102967023849,677.504366613,0.0250749588013,1105.09561824,0.000852108001709,567.07579751
80,0.108430147171,792.498534091,0.0264019966125,1158.08624182,0.000858068466187,567.07579751
85,0.115289926529,785.934041233,0.027755022049,1112.87187855,0.000741958618164,567.07579751
90,0.121570825577,696.701750488,0.0290338993073,1260.69360408,0.000741958618164,567.07579751
95,0.128224849701,768.978530631,0.0302700996399,1135.11305165,0.000746011734009,567.07579751
100,0.135267019272,668.922865147,0.0314810276031,1059.77104609,0.000744104385376,567.07579751
