"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00805997848511,499.582909807,0.00484490394592,909.359490719,0.000396013259888,798.100691426
10,0.0151309967041,896.450511941,0.0065541267395,712.965929413,0.000429153442383,702.401797248
15,0.0223779678345,993.37263773,0.00810289382935,426.110316051,0.00043797492981,725.676568185
20,0.0292060375214,1123.60244584,0.00960922241211,394.785733065,0.000465869903564,742.740859668
25,0.0366041660309,362.995413004,0.0110969543457,308.60775187,0.000496864318848,674.224858921
30,0.0431740283966,642.844138321,0.0126609802246,398.237535596,0.000505208969116,661.949546328
35,0.0500230789185,631.098424932,0.0140969753265,404.638657175,0.000525951385498,664.591265767
40,0.0577299594879,479.243818763,0.0155200958252,448.233927028,0.000536918640137,660.198355343
45,0.0643999576569,954.323906119,0.0171248912811,647.326907625,0.000564098358154,415.233299774
50,0.0711309909821,501.858829435,0.0182628631592,743.274152917,0.000612020492554,291.308280983
55,0.0770170688629,355.921329274,0.0197060108185,718.993320904,0.000620126724243,291.308280983
60,0.0849759578705,443.23711089,0.0209169387817,713.332808512,0.000607013702393,291.308280983
65,0.0902528762817,439.076076253,0.0224089622498,790.155421477,0.000690937042236,264.427216625
70,0.0974900722504,369.827641794,0.0236649513245,632.208438831,0.00068998336792,264.427216625
75,0.103127002716,341.338171268,0.0250871181488,708.897803584,0.000695943832397,264.427216625
80,0.109159946442,369.503386452,0.0262639522552,827.917682429,0.000686168670654,264.427216625
85,0.115643978119,294.246637558,0.0276329517365,734.75367962,0.000684976577759,264.427216625
90,0.122119903564,290.594434111,0.029009103775,542.897495031,0.000746011734009,227.070113234
95,0.128362178802,354.643391901,0.0304992198944,649.789353676,0.000822067260742,227.070113234
100,0.135293960571,314.99330116,0.0313429832458,779.923708862,0.000747919082642,227.070113234
