"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.010409116745,1979.10455854,0.00534701347351,5771.78474402,0.000420093536377,5052.57446136
10,0.0151028633118,2411.00228878,0.00654602050781,2035.50947346,0.000427961349487,4022.95357798
15,0.0222370624542,2142.18771933,0.0082049369812,1351.44659675,0.000447988510132,3970.8701259
20,0.0296058654785,2180.77323845,0.00969696044922,1518.46669638,0.00046706199646,2574.15977473
25,0.0365970134735,2185.0974312,0.0112988948822,1471.97926009,0.00049614906311,1821.73567946
30,0.0450818538666,1964.68479641,0.0128090381622,1226.90260398,0.000499963760376,1400.2825033
35,0.0502560138702,1588.30296822,0.0143959522247,1277.77790381,0.000524997711182,1336.29144681
40,0.0570890903473,2175.55499361,0.0159130096436,1300.20511205,0.000550985336304,1001.53010549
45,0.0641570091248,1966.34330051,0.0170180797577,1362.92641035,0.000568866729736,951.629261976
50,0.0707590579987,1947.90251032,0.0185379981995,1187.72254985,0.000568866729736,951.629261976
55,0.0772869586945,1343.21330333,0.0199899673462,1147.72096165,0.000613927841187,932.075832054
60,0.083554983139,1235.95789898,0.0213530063629,1316.21966441,0.000603914260864,932.075832054
65,0.0896310806274,1524.55533793,0.022598028183,2132.83686041,0.000653028488159,952.230307702
70,0.0982940196991,966.511615037,0.0239222049713,1350.56853479,0.000626087188721,952.230307702
75,0.103229999542,1030.54698176,0.0254168510437,1233.25772098,0.000633001327515,895.147295955
80,0.109389066696,1570.36697696,0.0266599655151,2079.98686476,0.000631093978882,895.147295955
85,0.116031885147,1207.09654618,0.0280430316925,1599.94174824,0.000685930252075,799.602616045
90,0.121472835541,1344.39224543,0.0294342041016,1755.08194135,0.000698804855347,799.602616045
95,0.12842798233,881.234105097,0.0307569503784,1624.24203891,0.000735998153687,702.852957402
100,0.134022951126,1240.90591972,0.0318691730499,2232.52719836,0.000734090805054,702.852957402
