"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00892996788025,2867.54847088,0.00491189956665,4555.9233627,0.000391960144043,6724.40111502
10,0.0163102149963,3878.23928542,0.00648403167725,3885.41995726,0.000408887863159,4973.10763395
15,0.0222399234772,2997.93848347,0.00802397727966,2736.7915207,0.000442981719971,4032.6450143
20,0.0298421382904,3745.01501549,0.00964498519897,2704.21407309,0.000473022460938,3755.64253988
25,0.036395072937,2835.46166083,0.0110740661621,2148.11801041,0.000492095947266,2718.87376278
30,0.0435569286346,2647.40668286,0.0126490592957,2579.97396558,0.00049614906311,2705.12006273
35,0.0505788326263,2681.95754175,0.0140450000763,3035.69955905,0.000530958175659,2234.0442301
40,0.0574600696564,2128.31292269,0.0155239105225,3266.28692969,0.000566005706787,2194.04217379
45,0.0638518333435,2565.02129284,0.0169560909271,2473.87152846,0.000552892684937,2194.04217379
50,0.0700838565826,1935.25632898,0.0188200473785,2288.31100728,0.000585079193115,2027.7549045
55,0.0759739875793,2423.2539036,0.0196890830994,2069.24472417,0.000586032867432,2027.7549045
60,0.0834279060364,1969.54899882,0.0210671424866,2646.87275217,0.000657081604004,1486.06719697
65,0.0886821746826,1856.75331426,0.0230858325958,2732.36402636,0.000777006149292,1486.06719697
70,0.0966210365295,1548.83945988,0.0237329006195,2938.58088729,0.000656843185425,1486.06719697
75,0.10157585144,1892.79880544,0.0250759124756,1881.07161932,0.000848054885864,1289.0438564
80,0.109215974808,1905.33389357,0.0264799594879,1790.83102862,0.000856876373291,1289.0438564
85,0.114113092422,1474.41316997,0.0277409553528,1620.0219119,0.000744819641113,1289.0438564
90,0.120162963867,1501.46413314,0.0289721488953,1444.45887143,0.000914812088013,1289.0438564
95,0.127742052078,1471.3677635,0.0304410457611,1515.45146529,0.000746011734009,1289.0438564
100,0.13295507431,1290.89343683,0.0315589904785,1563.41571423,0.000868797302246,1005.23710254
