"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,3.53322196007,923197.188662,2.12861418724,1754737.80758,0.212968826294,1088620.33858
10,6.75387001038,922051.128269,2.82476615906,1620477.37117,0.209431886673,1128983.73163
15,10.0102460384,928280.366052,3.58828806877,1027656.76469,0.206526994705,1055116.64347
20,12.9855749607,612937.097454,4.21831703186,1125587.00829,0.206253051758,1056767.61285
25,16.1550140381,692795.267552,4.93706703186,677841.592199,0.208966016769,921731.515567
30,19.2251660824,786377.202139,5.55766105652,705266.676189,0.221302032471,904378.862868
35,22.2838900089,605745.744632,6.24196720123,620333.548444,0.205814838409,963231.727647
40,25.357596159,758959.195991,6.94189190865,563042.93427,0.206799983978,858684.090318
45,28.4716758728,514850.810742,7.5790989399,496464.55779,0.207107067108,838544.891142
50,31.9898681641,500630.212229,8.22933506966,494334.116672,0.20942902565,823062.530799
55,34.7876169682,465594.466776,8.95224308968,454011.881358,0.205682039261,868732.082263
60,37.931923151,448416.781521,9.63037800789,464347.013415,0.206727981567,775787.687963
65,40.9885571003,535716.350581,10.2423529625,409729.870376,0.205332994461,736820.797836
70,44.0109679699,563228.782531,10.9412548542,427993.912859,0.206970214844,737193.518541
75,48.1367220879,467461.265666,11.5576229095,423772.401476,0.206833124161,715923.859458
80,51.3394799232,395229.245786,12.2579369545,394859.918306,0.206001996994,767157.386869
85,53.5034930706,427968.415559,12.8778369427,393892.052376,0.205242872238,632425.664061
90,57.2787408829,394909.914958,13.5256180763,334237.306905,0.206023931503,529179.412738
95,60.0922129154,441979.116169,14.1394429207,381791.168085,0.223628044128,534698.591845
100,62.8289470673,470295.936883,14.912571907,345052.512334,0.205346107483,405569.05265
